Frame Number,Processing Time (seconds)
0,0.6403563022613525
1,0.09091591835021973
2,0.09950470924377441
3,0.0878591537475586
4,0.08291387557983398
5,0.0771486759185791
6,0.08148336410522461
7,0.08561158180236816
8,0.08841967582702637
9,0.07527518272399902
10,0.0749201774597168
11,0.07554984092712402
12,0.07560992240905762
13,0.07349157333374023
14,0.07322430610656738
15,0.0856788158416748
16,0.08847570419311523
17,0.07927680015563965
18,0.0714411735534668
19,0.07401680946350098
20,0.07775473594665527
21,0.08499741554260254
22,0.0740346908569336
23,0.07288193702697754
24,0.07265830039978027
25,0.07177066802978516
26,0.07578635215759277
27,0.07795548439025879
28,0.09034967422485352
29,0.08771109580993652
30,0.07218027114868164
31,0.07520127296447754
32,0.07276535034179688
33,0.07682085037231445
34,0.07695126533508301
35,0.07607841491699219
36,0.07952713966369629
37,0.07292604446411133
38,0.07450342178344727
39,0.07690119743347168
40,0.0761256217956543
41,0.08736491203308105
42,0.09323740005493164
43,0.07415485382080078
44,0.07208085060119629
45,0.07880234718322754
46,0.0731201171875
47,0.07293033599853516
48,0.08098387718200684
49,0.07299375534057617
50,0.07490873336791992
51,0.0741722583770752
52,0.07246947288513184
53,0.08181405067443848
54,0.08916378021240234
55,0.08350658416748047
56,0.07099771499633789
57,0.07359170913696289
58,0.07437682151794434
59,0.08298611640930176
60,0.10582756996154785
61,0.07745742797851562
62,0.07345056533813477
63,0.07314920425415039
64,0.07111907005310059
65,0.07567834854125977
66,0.09299206733703613
67,0.08402252197265625
68,0.07967090606689453
69,0.07041525840759277
70,0.07326102256774902
71,0.07449078559875488
72,0.07616400718688965
73,0.0758054256439209
74,0.08792901039123535
75,0.07321524620056152
76,0.0742342472076416
77,0.07352662086486816
78,0.07417726516723633
79,0.10306239128112793
80,0.09206438064575195
81,0.07727837562561035
82,0.07762432098388672
83,0.07610559463500977
84,0.07512569427490234
85,0.07257914543151855
86,0.07567000389099121
87,0.08461523056030273
88,0.07242989540100098
89,0.07236433029174805
90,0.07327628135681152
91,0.08185243606567383
92,0.0882730484008789
93,0.08939123153686523
94,0.07047009468078613
95,0.07442235946655273
96,0.07538008689880371
97,0.07427239418029785
98,0.07224059104919434
99,0.07503318786621094
100,0.08505845069885254
101,0.07584977149963379
102,0.07328152656555176
103,0.07346081733703613
104,0.08444356918334961
105,0.09298896789550781
106,0.08460378646850586
107,0.0740056037902832
108,0.07224130630493164
109,0.07936954498291016
110,0.07525873184204102
111,0.07225513458251953
112,0.07434844970703125
113,0.08299660682678223
114,0.08545994758605957
115,0.10221004486083984
116,0.10384035110473633
117,0.1288011074066162
118,0.12494683265686035
119,0.10265445709228516
120,0.1073615550994873
121,0.09788179397583008
122,0.10724067687988281
123,0.1051025390625
124,0.10041189193725586
125,0.10816240310668945
126,0.1136777400970459
127,0.10009551048278809
128,0.09956860542297363
129,0.10740423202514648
130,0.09639573097229004
131,0.11249661445617676
132,0.10483574867248535
133,0.11586904525756836
134,0.10130476951599121
135,0.14283299446105957
136,0.11079668998718262
137,0.11130094528198242
138,0.10444521903991699
139,0.10678648948669434
140,0.11088132858276367
141,0.10679316520690918
142,0.11609125137329102
143,0.13328051567077637
144,0.12535405158996582
145,0.11656999588012695
146,0.08222389221191406
147,0.0867455005645752
148,0.0794990062713623
149,0.07549071311950684
150,0.08025002479553223
151,0.07503652572631836
152,0.08198332786560059
153,0.08675622940063477
154,0.07517004013061523
155,0.0916280746459961
156,0.08923935890197754
157,0.07614922523498535
158,0.07291650772094727
159,0.07505106925964355
160,0.07455062866210938
161,0.07443070411682129
162,0.07576131820678711
163,0.07417106628417969
164,0.07184648513793945
165,0.07185125350952148
166,0.08461594581604004
167,0.07429933547973633
168,0.08349156379699707
169,0.08483123779296875
170,0.07684516906738281
171,0.07395219802856445
172,0.0736546516418457
173,0.07642221450805664
174,0.07321453094482422
175,0.0731959342956543
176,0.07646298408508301
177,0.07881689071655273
178,0.07814669609069824
179,0.07446622848510742
180,0.09619593620300293
181,0.09018325805664062
182,0.09115290641784668
183,0.07217049598693848
184,0.07238364219665527
185,0.0769650936126709
186,0.07296466827392578
187,0.07329559326171875
188,0.07541155815124512
189,0.07202410697937012
190,0.07332158088684082
191,0.07532930374145508
192,0.07266998291015625
193,0.08839225769042969
194,0.0888819694519043
195,0.09041237831115723
196,0.07213544845581055
197,0.07994270324707031
